"S_No","Channel","Action_Name","Trigger_Condition","Source_API_Route","Notification_Template_Name","Recipient","File_Path","Line_Number","Message_Content","Status"
"1","SMS","Cron Job: Plan Expiry Reminder (3 Days Before)","Plan diffDays === 3 and !smsReminder3Sent","node-cron schedule -> expirePurchasedPlans()","your internet going to be expired soon","Customer Mobile Number","src/jobs/expirePurchasedPlans.js","83","Dear Customer your internet going to be expired soon, kindly renew it today. Please ignore if you already renewed. Netway Internet Services","Active"
"2","SMS","Cron Job: Plan Expiry Reminder (1 Day Before)","Plan diffDays === 1 and !smsReminder1Sent","node-cron schedule -> expirePurchasedPlans()","your internet going to be expired soon","Customer Mobile Number","src/jobs/expirePurchasedPlans.js","89","Dear Customer your internet going to be expired soon, kindly renew it today. Please ignore if you already renewed. Netway Internet Services","Active"
"3","SMS","Cron Job: Account Expiry Alert (On Expiry Day)","Plan diffDays === 0 and !smsExpirySent","node-cron schedule -> expirePurchasedPlans()","Account Expiry","Customer Mobile Number","src/jobs/expirePurchasedPlans.js","95","Dear Customer, Your account will expire on {expiryDate}. Please renew the same to avoid disconnection. Netway Internet.","Active"
"4","SMS","Purchased Plan Created: Internet Bill Notification","Plan successfully purchased and invoice generated","POST /api/admin/purchasedPlan/create","Internet bill","Customer Mobile Number","src/controllers/admin/purchasedPlan/createPurchasedPlan.js","249","Dear Customer, your internet bill {billNo} has been generated. Please pay your bill before due date {dueDate} to avoid suspension of internet. Regards, Netway Internet Services","Active"
"5","SMS","Purchased Plan Created: Login Credentials Notification","Plan purchased and credentials distributed","POST /api/admin/purchasedPlan/create","Plan login credentials","Customer Mobile Number","src/controllers/admin/purchasedPlan/createPurchasedPlan.js","343","Welcome to Netway Internet, your account has been created, you have chosen {plan} plan. Your username is {username} and password is {password}. For login http://erp.netwayinternetservices.co.in","Active"
"6","SMS","User Creation: Welcome & Credentials Notification","New customer registered by Admin","POST /api/admin/user/create","your account created (Intended: your account has been created)","Customer Mobile Number","src/controllers/admin/user/CreateUser.js","473","Welcome to Netway Internet, your account has been created, you have chosen {plan} plan. Your username is {username} and password is {password}. For login http://erp.netwayinternet.co.in","Active (Key requires template alignment)"
"7","SMS","Retailer / Reseller Creation: Account Created Notification","New retailer/reseller account created","POST /api/admin/retailer/create","Your_account_created","Retailer Mobile Number","src/controllers/admin/retailer/createRetailer.js","125","Welcome to Netway Internet Services, your account has been created, you have chosen {plan}. Your username is {username} and password is {password}. For login https://erp.netwayinternetservices.co.in/","Active"
"8","SMS","Ticket Creation: Complaint Registered Notification","New complaint ticket created by Admin","POST /api/admin/ticket/create","Complaint_has_been_registered","Customer Mobile Number","src/controllers/admin/ticket/createTicket.js","156","Dear Customer, your complaint has been registered. Your ticket no is {ticketNo} Regards, Netway Internet Services","Active"
"9","SMS","Ticket Update: Complaint Assigned to Engineer","Ticket updated or assigned/reassigned to engineer","PATCH /api/admin/ticket/status/:ticketId or PUT update","A_complaint_assigned_to_Engineer","Engineer / Staff Mobile Phone","src/controllers/admin/ticket/updateTicket.js","147","Dear {engineerName} A complaint assign to you. Client Id :{clientId} Client Name:{clientName} Ticket No:{ticketNo} Mobile:{mobile} Address:{address} Detail:{detail} Netway Internet","Active"
"10","SMS","Ticket Reply: Complaint Reply / Registration Update","Staff / Admin replies to ticket","POST /api/admin/ticketReply/create","complaint has been registered","Customer Mobile Number","src/controllers/admin/ticketReply/createTickerReply.js","51","Dear Customer, your complaint has been registered. Your ticket no is {ticketNo} Regards, Netway Internet","Active"
"11","Email","Admin Forgot Password: Password Reset OTP","Admin initiates forgot password request","POST /api/admin/auth/forgotPassword","Password Reset OTP Email","Admin Email Address","src/controllers/admin/auth/sendOtpForResetPassword.js","21","Subject: Your Password Reset OTP | Body: Your password reset OTP is: {otp}. It is valid for 10 minutes.","Active"
"12","Email","Website New Connection Request Notification","Lead submits connection inquiry from public website","POST /api/admin/website/sendNewConnection","Website New Connection Request Email","Admin / Sales Inbox (kesherwaniajeet@gmail.com / process.env.EMAIL_RECIVER)","src/controllers/webiste/mailController/sendNewConnection.js","27","Subject: Website New Connection Request! | Body: Customer Name: {name}, Customer Mobile: {mobile}, City: {city}, Locality: {locality}","Active"
"13","SOAP / IPACCT Server","IPACCT User Provisioning: Automated SMS & Invoice","Admin creates customer (synced with IPACCT billing gateway)","POST /api/admin/user/create -> ipbillAddUser","<sendinvoice>true</sendinvoice> & <sendsms>true</sendsms>","Customer Mobile / IPACCT Account","src/services/ipacctUserServices.js","109","SOAP parameters instructs IPACCT Server to send SMS and Invoice automatically","Active"
