"Template_ID","Template_Name","Message_Content","Usage_Status"
"1","ERP login OTP","Your ERP login OTP is {otp}. Thanks, Netway Internet","DEFINED (STANDBY)"
"2","your internet going to be expired soon","Dear Customer your internet going to be expired soon, kindly renew it today. Please ignore if you already renewed. Netway Internet Services","ACTIVE IN CODE"
"3","Your_account_created","Welcome to Netway Internet Services, your account has been created, you have chosen {plan}. Your username is {username} and password is {password}. For login https://erp.netwayinternetservices.co.in/","ACTIVE IN CODE"
"4","Complaint_has_been_registered","Dear Customer, your complaint has been registered. Your ticket no is {ticketNo} Regards, Netway Internet Services","ACTIVE IN CODE"
"5","Internet bill","Dear Customer, your internet bill {billNo} has been generated. Please pay your bill before due date {dueDate} to avoid suspension of internet. Regards, Netway Internet Services","ACTIVE IN CODE"
"6","Account Expiry","Dear Customer, Your account will expire on {expiryDate}. Please renew the same to avoid disconnection. Netway Internet.","ACTIVE IN CODE"
"7","Fiber outage in your society","Dear Customer There is some fiber outage in your society due to which your internet is not working, please allow some time for resolution, sorry for this Inconveniences Netway Internet.","DEFINED (STANDBY)"
"8","Mobile verification code","Dear Customer, Your Netway Internet mobile verification code is {otp} Thanks Netway","DEFINED (STANDBY)"
"9","OTP generation","OTP generation Dear Customer your OTP is {otp} Netway WiFi","DEFINED (STANDBY)"
"10","Plan login credentials","Welcome to Netway Internet, your account has been created, you have chosen {plan} plan. Your username is {username} and password is {password}. For login http://erp.netwayinternetservices.co.in","ACTIVE IN CODE"
"11","A_complaint_assigned_to_Engineer","Dear {engineerName} A complaint assign to you. Client Id :{clientId} Client Name:{clientName} Ticket No:{ticketNo} Mobile:{mobile} Address:{address} Detail:{detail} Netway Internet","ACTIVE IN CODE"
"12","Dear Customer, some fiber outage in back-end","Dear Customer, some fiber outage in back-end, allow some time for resolution. Sorry for inconveniences. Netway Internet.","DEFINED (STANDBY)"
"13","Dear Engg, A complaint assign to you","Dear Engg, A complaint assign to you. Client Id : {clientId}, Client Name: {clientName}, Ticket No: {ticketNo}, Mobile: {mobile}, Address: {address}, Detail: {detail} Netway Internet","DEFINED (STANDBY)"
"14","Dear Customer, Your Ticket has been resolved","Dear Customer, Your Ticket {ticketNo} has been resolved successfully. Regards Netway Internet","DEFINED (STANDBY)"
"15","You can pay your amount by using this app URL","You can pay your amount by using this app URL call to this no for your user ID {userId} and pwd {password} 7303090705, 7065566188 Click: https://bit.ly/3GgjTuF Netway Internet","DEFINED (STANDBY)"
"16","Dear Customer We called you several times","Dear Customer We called you several times, but due to no response from you, we are closing your complaint.Please check your internet, If you have any issue with your internet please contact us on this no -9210014455,01202807200-NETWAY INTERNET.","DEFINED (STANDBY)"
"17","Dear Customer, some hardware faulty in back-end.","Dear Customer, some hardware faulty in back-end. Now Internet is working. Sorry for inconveniences. Netway Internet.","DEFINED (STANDBY)"
"18","A complaint assign to Engg","Dear Engg, A complaint assign to you. Client Id : {clientId}, Client Name: {clientName}, Ticket No: {ticketNo}, Mobile: {mobile}, Address: {address}, Detail: {detail} Netway Internet","DEFINED (STANDBY)"
"19","your account has been created","Welcome to Netway Internet, your account has been created, you have chosen {plan} plan. Your username is {username} and password is {password}. For login http://erp.netwayinternet.co.in","ACTIVE IN CODE"
"20","Your Ticket has been resolved","Dear Customer, Your Ticket {ticketNo} has been resolved successfully. Regards, Netway Internet","DEFINED (STANDBY)"
"21","happy new year","Dear Customers You have been a great customer for our business and on behalf of our company, I want to wish you a very happy new year. May this year brings lots of happiness in your Life Thanks for choosing NETWAY INTERNET and putting your trust in our service, wishing to serve you again in this New Year.","DEFINED (STANDBY)"
"22","Your OTP code","{otp} is Your OTP code for Netway. Do not Share it with anyone. Netway Internet","DEFINED (STANDBY)"
"23","Your internet bill payment has been update","Dear Customer, Your internet bill payment has been update {paymentDetails} Netway Internet","DEFINED (STANDBY)"
"24","your complaint has been registered","Dear Customer, your complaint has been registered. Your ticket no is {ticketNo} Regards, Netway Internet","DEFINED (STANDBY)"
"25","your internet bill has been generated","Dear Customer, your internet bill {billNo} has been generated. Please pay your bill before due date {dueDate} to avoid suspension of internet. Netway Internet","DEFINED (STANDBY)"
